Код;Наименование;ИНН;КПП;Адрес;Телефон;email;Сайт;Дополнительно
100;УФНС России по Республике Адыгея;105043805;10501001;,385009,Адыгея Респ,,Майкоп г,,Привокзальная ул,331,,;8(8772) 56-96-13;u01@r01.nalog.ru;http://www.r01.nalog.ru/;"Код ОКПО:16592416. Режим работы понедельник-четверг с 9.00 по 18.00;пятница с 09.00 по 16.45.Перерыв с 13.00 до 13.45. Выходной: суббота, воскресенье.Телефон горячей линии 8(87772)56-80-24"
101;Межрайонная ИФНС России №2 по Республике Адыгея;101002332;10101001;,385600,Адыгея Респ,Гиагинский р-н,,Гиагинская ст-ца,Советская ул,28,,;8(87779) 9-70-51;i010100@r01.nalog.ru;-;"Код ОКПО:44554136. Режим работы:понедельник и среда с 09.00 до 18.00;вторник и четверг с 09.00 до 20.00; пятница с 09.00 по 16.45; первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горячей линии 8(87779)9-70-45"
105;Межрайонная ИФНС России №1 по Республике Адыгея;105035988;10501001;,385009,Адыгея Респ,,Майкоп г,,Привокзальная ул,331,,;8(8772) 53-71-33;i010500@r01.nalog.ru;-;"Код ОКПО:53001672. Режим работы:понедельник и среда с 9.00 по 18.00;вторник и четверг с 09.00 до 20.00;пятница с 09.00 по 16.45;первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горчей линии 8(8772)53-01-70"
107;Межрайонная ИФНС России №3 по Республике Адыгея;107002064;10701001;,385100,Адыгея Респ,Тахтамукайский р-н,,Тахтамукай аул,Ленина ул,60/1,,;8(87771) 9-90-10;i010700@r01.nalog.ru;-;"Код ОКПО:53005865. Режим работы:понедельник и среда с 9.00 по 18.00; вторник и четверг с 09.00 до 20.00;пятница с 09.00 по 16.45;первая и третья субботы месяца с 10.00 до 15.00. Выходной суббота, воскресенье.Телефон горячей линии 8(87771)9-90-30"
200;УФНС России по Республике Башкортостан;278106440;27801001;,450078,,,Уфа г,,Салавата Юлаева пр,55,,;347-229-70-90;u02@r02.nalog.ru;www.nalog.ru;"Код ОКПО:00085781. Режим работы: Понедельник-четверг: 08.30-17.30; пятница: 08.30-16.15; Обеденный перерыв с 12.30 до 13.15; Cуббота, воскресенье - выходные дни."
400;Управление ФНС России по Республике Алтай;411119764;41101001;,649000,,,Горно-Алтайск г,,Чорос-Гуркина ул,40,,;"(38822) 92-777 ""горячая линия"" - (38822) 92-804";u04@r04.nalog.ru;-;Код ОКПО:00079295, часы работы: понедельник - четверг 8.00 - 17.15, пятница 8.00 - 16.00, обед с 13.00 - 14.00
404;Межрайонная ИФНС России №2 по Республике Алтай;404005572;40401001;,649440,Алтай Респ,Онгудайский р-н,,Онгудай с,Победы ул,28,,;"(38845) 22-775 ""горячая линия"" - (38845) 22-381";i0404@m02.r04.nalog.ru;-;"Код ОКПО:00079295, часы работы: понедельник, среда 8.00 - 18.00, пятница 8.00 - 17.00; вторник, четверг 8.00. - 20.00; 2 и 4 суббота месяца ч 10.00 - 15.00"
411;Межрайонная ИФНС России №5 по Республике Алтай;411131507;41101001;,649000,,,Горно-Алтайск г,,Чорос-Гуркина ул.,40,,;"(38822) 92-999 ""горячая линия"" - (388-22) 92-842";i0411@m05.r04.nalog.ru;-;"Код ОКПО:00079295, часы работы: понедельник, среда 8.00 - 18.00, пятница 8.00 - 17.00; вторник, четверг 08.00 - 20.00; 2 и 4 суббота месяца ч 10.00-15.00"
500;УФНС России по Республике Дагестан;562043926;57201001;,367015,,,Махачкала г,,М.Ярагского ул,93,,;8722-554638;u05@r05.nalog.ru;www.r05.nalog.ru;Код ОКПО: 40759373.Режим работы: с 9-00 до 18-00, пятница с 9-00 до 16-45, нерабочие дни: суббота, воскресенье
506;Межрайонная ИФНС России № 12 по РД;506007177;50601001;,368970,Дагестан Респ,Ботлихский р-н,,Ботлих с,,,,;271-22141;i0506@m06.r05.nalog.ru;-;Код ОКПО: 73915032. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
507;Межрайонная ИФНС России № 7 по РД;507023326;50701001;,368200,Дагестан Респ,,Буйнакск г.Чкалова ул,31,,;237-25024;i0507@m07.r05.nalog.ru;-;Код ОКПО: 70497901. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
